Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","PS-9627","BUZZER_HC0903",43.400000,18.700000,-90.000000,top
"C1","470uF","CAP_D",48.200000,30.800000,-90.000000,top
"C3","18pF","CAP_0603_Silks",44.200000,31.000000,180.000000,top
"C4","18pF","CAP_0603_Silks",44.100000,36.800000,0.000000,top
"C5","10u","CAP_0603_Silks",40.800000,28.500000,0.000000,top
"C6","0.1u","CAP_0603_Silks",37.300000,43.700000,0.000000,top
"C7","0.1u","CAP_0603_Silks",30.800000,43.700000,0.000000,top
"C8","0.1u","CAP_0603_Silks",26.700000,32.700000,90.000000,top
"C9","0.1u","CAP_0603_Silks",37.800000,28.500000,180.000000,top
"C10","0.1u","CAP_0603_Silks",41.800000,31.700000,-90.000000,top
"C11","0.1u","CAP_0603_Silks",42.500000,39.100000,-90.000000,top
"C12","1u","CAP_0603_Silks",44.100000,39.100000,-90.000000,top
"C13","47u","CAP_1206",2.900000,24.200000,-90.000000,top
"C14","0.1u","CAP_0603_Silks",5.400000,29.800000,90.000000,top
"C15","0.1u","CAP_0603_Silks",6.300000,32.200000,-30.000000,top
"C16","0.1u","CAP_0603_Silks",25.900000,19.200000,-90.000000,top
"C17","10u","CAP_0805",27.700000,19.600000,-90.000000,top
"C18","10u","CAP_0603_Silks",27.900000,25.500000,90.000000,top
"C19","47u","CAP_1206",4.500000,39.150000,90.000000,top
"C20","0.1u","CAP_0603_Silks",7.900000,30.250000,-150.000000,top
"C21","47u","CAP_1206",14.200000,26.950000,-90.000000,top
"D1","L-C191LBCT","LED_0603",47.100000,42.600000,90.000000,top
"D2","TSAL6200","LED5mmR",63.000000,30.800000,-90.000000,top
"D3","BL-L522PGC","LED5mmR",63.000000,39.800000,-90.000000,top
"D4","BL-L522PGC","LED5mmR",63.000000,21.800000,-90.000000,top
"D5","BL-L502URC","LED5mmR",39.400000,56.800000,0.000000,top
"D6","BL-L502URC","LED5mmR",45.400000,56.800000,0.000000,top
"D7","BL-L502URC","LED5mmR",51.400000,56.800000,0.000000,top
"D8","BL-L502URC","LED5mmR",57.400000,56.800000,0.000000,top
"D9","BL-L502URC","LED5mmR",39.400000,4.700000,180.000000,top
"D10","BL-L502URC","LED5mmR",45.400000,4.700000,180.000000,top
"D11","BL-L502URC","LED5mmR",51.400000,4.700000,180.000000,top
"D12","BL-L502URC","LED5mmR",57.400000,4.700000,180.000000,top
"DA1","LM1117GS-3.3","SOT223",33.300000,24.300000,-90.000000,top
"DD1","STM32F072RxTx","LQFP64",34.300000,36.200000,180.000000,top
"HOLE1","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",11.750000,40.750000,0.000000,top
"HOLE2","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",11.750000,20.750000,0.000000,top
"HOLE3","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",51.250000,44.750000,90.000000,top
"HOLE4","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",60.750000,45.750000,0.000000,top
"HOLE5","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",60.750000,15.750000,0.000000,top
"HOLE6","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",21.250000,16.750000,90.000000,top
"HOLE7","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",63.250000,6.250000,90.000000,top
"HOLE8","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",33.250000,6.250000,90.000000,top
"HOLE9","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",51.250000,16.750000,90.000000,top
"HOLE10","HOLE_METALLED","Oval7d7x5d7wHole5d5x3d5",33.250000,55.250000,90.000000,top
